n,Avg Key Comp,Avg Processing Time
1000,13256.2,0.001147323400000001
500995,11124075.2,1.1383114848
1000990,23214764.2,2.7668065998
1500985,40617318.8,5.0250936874
2000980,48398126.0,6.612879615599998
2500975,65343517.0,8.392355880800002
3000970,84204888.4,11.323197357599991
3500965,84766815.2,12.562554196799999
4000960,100777790.2,14.767198860999997
4500955,117736434.6,17.331796921999988
5000950,135655433.8,20.253720700400002
5500945,154542627.8,22.658928090600035
6000940,174371830.8,24.57320486799997
6500935,195154216.0,27.447637495599974
7000930,176499176.8,27.15387800459998
7500925,192765144.6,30.883823486400026
8000920,209511567.8,33.353184044399995
8500915,226743362.0,36.818605078599965
9000910,244455877.0,38.36484860979995
9500905,262642845.2,40.106577229799996
